DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0101,8,2015,17,7,2015,13,1301,999,999,9,9,320,320,1,9,99,23
1,0101,6,2016,29,7,2015,1,0101,999,999,9,9,840,320,1,9,99,41
19,1901,2,2016,8,7,2015,19,1901,46,40,4,4,320,320,1,9,99,98
1,0101,2,2016,22,12,2015,1,0115,999,999,9,9,320,320,1,9,99,98
22,2204,2,2015,3,2,2015,22,2206,999,999,4,4,320,320,1,9,99,99
1,0101,6,2016,14,10,2015,22,2201,999,999,9,9,320,320,1,9,99,99
22,2201,2,2015,7,1,2015,22,2201,999,999,9,9,320,320,1,9,99,99
21,2101,9,2015,17,7,2015,21,2104,999,999,9,9,320,320,1,9,99,99
1,0101,11,2015,13,7,2015,21,2102,999,999,9,9,320,320,1,9,99,99
21,2101,12,2015,28,10,2015,21,2102,33,999,4,9,320,320,1,9,99,99
20,2007,1,2016,11,11,2015,20,2007,999,999,9,9,320,320,1,9,99,99
20,2007,11,2015,14,9,2015,20,2007,999,999,9,9,320,320,1,9,99,99
20,2007,9,2015,27,7,2015,20,2007,999,999,9,9,320,320,1,9,99,99
1,0101,7,2015,14,5,2015,19,1909,999,999,9,9,320,320,1,9,99,99
19,1904,3,2015,29,1,2015,19,1904,999,999,9,9,320,320,1,9,99,99
19,1901,5,2015,6,5,2015,19,1901,999,999,9,9,320,320,1,9,99,99
18,1804,4,2016,11,11,2015,18,1804,999,999,9,9,320,320,1,9,99,99
18,1804,10,2015,8,9,2015,18,1804,999,999,9,9,320,320,1,9,99,99
5,0501,2,2016,8,5,2015,18,1802,999,999,9,9,320,320,1,9,99,99
1,0101,3,2016,5,6,2015,15,1503,999,999,9,9,320,320,1,9,99,99
1,0101,8,2015,27,2,2015,15,1501,52,999,9,9,320,320,1,9,99,99
17,1703,8,2015,10,7,2015,14,1420,999,999,1,9,320,320,1,9,99,99
14,1405,9,2015,18,5,2015,14,1405,999,999,9,9,320,320,1,9,99,99
14,1404,9,2015,7,8,2015,14,1401,999,999,9,9,320,320,1,9,99,99
11,1101,11,2015,15,10,2015,13,1326,36,999,9,9,320,320,1,9,99,99
12,1222,8,2015,2,2,2015,12,1222,999,999,9,9,320,320,1,9,99,99
12,1215,11,2015,11,8,2015,12,1215,999,999,4,4,320,320,1,9,99,99
11,1104,6,2016,12,10,2015,11,1105,999,999,9,9,320,320,1,9,99,99
11,1101,8,2015,1,6,2015,11,1101,999,999,9,9,320,320,1,9,99,99
1,0101,9,2015,3,8,2015,10,1011,999,999,9,9,320,320,1,9,99,99
9,0901,11,2015,8,5,2015,9,0901,999,999,4,4,320,320,1,9,99,99
8,0802,11,2015,20,8,2015,8,0802,999,999,9,9,320,320,1,9,99,99
8,0802,4,2016,21,7,2015,8,0802,999,999,9,9,320,320,1,9,99,99
6,0602,8,2015,26,6,2015,6,0602,999,999,9,9,320,320,1,9,99,99
5,0506,2,2016,11,12,2015,5,0506,999,999,9,9,320,320,1,9,99,99
5,0503,1,2016,10,9,2015,5,0503,999,999,9,9,320,320,1,9,99,99
5,0502,7,2015,5,5,2015,5,0502,999,999,9,9,320,320,1,9,99,99
5,0504,5,2015,23,3,2015,5,0502,999,999,9,9,320,320,1,9,99,99
5,0501,8,2015,15,6,2015,5,0501,999,999,9,9,320,320,1,9,99,99
4,0401,4,2015,25,3,2015,4,0415,999,999,9,9,320,320,1,9,99,99
4,0401,9,2015,13,3,2015,4,0415,42,999,9,9,320,320,1,9,99,99
4,0401,9,2015,11,8,2015,4,0411,999,999,9,9,320,320,1,9,99,99
1,0101,2,2016,14,12,2015,4,0403,999,999,9,9,320,320,1,9,99,99
4,0401,10,2015,25,9,2015,4,0401,999,999,9,9,320,320,1,9,99,99
4,0401,8,2015,26,6,2015,4,0401,999,999,9,9,320,320,1,9,99,99
4,0401,4,2015,2,3,2015,4,0401,999,999,9,9,320,320,1,9,99,99
3,0312,11,2015,19,10,2015,3,0312,999,999,9,9,320,320,1,9,99,99
1,0108,9,2015,23,4,2015,3,0309,999,999,9,9,320,320,1,9,99,99
1,0101,7,2015,20,5,2015,3,0301,999,999,9,9,320,320,1,9,99,99
3,0301,1,2016,5,10,2015,3,0301,999,999,9,9,320,320,1,9,99,99
3,0301,9,2015,18,5,2015,3,0301,999,999,9,9,320,320,1,9,99,99
3,0301,2,2015,19,1,2015,3,0301,44,999,4,4,320,320,1,9,99,99
3,0308,2,2015,27,1,2015,3,0301,999,999,9,9,320,320,1,9,99,99
2,0207,3,2015,26,2,2015,2,0207,999,999,9,9,320,320,1,9,99,99
2,0201,4,2015,7,4,2015,2,0201,999,999,9,9,320,320,1,9,99,99
1,0101,2,2016,14,12,2015,1,0114,999,999,9,9,320,320,1,9,99,99
1,0101,9,2015,20,5,2015,1,0108,999,999,9,9,320,320,1,9,99,99
1,0101,8,2015,19,6,2015,1,0105,45,999,9,9,320,320,1,9,99,99
1,0101,11,2015,12,10,2015,1,0101,999,999,9,9,320,320,1,9,99,99
1,0101,1,2016,16,9,2015,1,0101,999,999,9,9,320,320,1,9,99,99
