DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
6,0606,12,2020,19,11,2020,6,0614,19,23,4,4,320,320,2,2,92,97
7,0704,2,2020,3,2,2020,7,0704,20,20,1,9,320,320,4,4,72,34
9,0916,9,2020,21,9,2020,9,0916,20,20,1,1,320,320,4,3,74,97
8,0801,3,2021,18,11,2020,8,0801,20,21,1,1,320,320,3,3,75,52
19,1909,11,2020,9,11,2020,19,1909,20,22,4,4,320,320,2,2,92,97
9,0920,6,2021,12,10,2020,9,0922,20,23,4,4,320,320,9,4,42,97
20,2011,10,2020,6,3,2020,20,2006,21,20,4,4,320,320,2,2,92,52
14,1413,2,2020,27,1,2020,14,1405,21,21,1,1,320,320,3,3,73,97
8,0801,11,2020,21,10,2020,8,0801,21,21,4,4,320,320,4,4,97,97
9,0901,2,2020,4,2,2020,9,0903,21,22,9,9,320,320,3,3,52,97
14,1406,6,2021,4,12,2020,14,1406,21,22,5,1,320,320,4,3,94,97
8,0804,11,2020,20,11,2020,9,0901,21,24,1,1,320,320,4,4,51,33
16,1610,2,2021,16,3,2020,16,1610,21,24,1,1,320,320,2,1,92,97
5,0501,9,2020,5,2,2020,5,0501,21,39,9,4,320,320,4,3,97,97
1,0101,2,2021,29,12,2020,1,0101,21,44,4,4,320,320,4,4,97,97
17,1710,7,2020,3,2,2020,17,1710,22,21,4,4,320,320,2,2,92,97
17,1703,2,2021,25,11,2020,17,1703,22,21,4,4,320,320,4,3,97,97
9,0901,2,2020,12,2,2020,8,0801,22,22,1,1,320,320,3,3,52,97
16,1609,10,2020,3,9,2020,16,1609,22,22,1,9,320,320,3,3,97,97
12,1218,3,2020,17,2,2020,12,1218,22,23,4,4,320,320,3,3,92,97
21,2101,9,2020,13,2,2020,21,2101,22,23,4,4,320,320,4,4,97,97
11,1101,9,2020,2,9,2020,11,1108,22,23,4,4,320,320,4,4,97,97
4,0401,11,2020,14,10,2020,4,0401,22,24,9,5,320,320,4,4,97,97
4,0401,12,2020,6,10,2020,4,0401,22,25,5,4,320,320,4,4,97,97
1,0115,7,2020,13,3,2020,1,0115,22,26,5,4,320,320,4,3,93,97
4,0401,11,2020,27,2,2020,4,0401,22,26,1,4,320,320,3,4,97,41
1,0101,10,2020,30,9,2020,1,0101,22,26,4,1,320,320,4,4,97,97
9,0901,1,2021,30,12,2020,12,1229,22,27,4,1,320,320,2,4,92,23
4,0401,11,2020,7,10,2020,4,0401,22,31,5,1,320,320,4,2,43,97
9,0914,3,2021,23,10,2020,9,0901,22,37,4,1,320,320,3,4,72,52
1,0101,9,2020,3,3,2020,1,0102,23,20,4,4,320,320,4,2,31,97
9,0901,11,2020,16,11,2020,8,0801,23,20,4,1,320,320,3,3,75,97
19,1901,9,2020,5,3,2020,19,1901,23,20,4,9,320,320,4,4,97,97
9,0909,12,2020,21,12,2020,9,0909,23,21,4,4,320,320,4,4,23,97
14,1401,12,2020,13,8,2020,14,1401,23,21,1,9,320,320,1,1,52,97
9,0901,1,2020,21,1,2020,9,0901,23,21,1,1,320,320,2,2,71,97
1,0111,1,2020,21,1,2020,1,0111,23,21,4,9,320,320,3,2,92,97
13,1301,7,2020,13,2,2020,13,1302,23,21,4,9,320,320,4,3,97,97
9,0902,2,2021,9,11,2020,9,0902,23,21,4,9,320,320,4,4,97,97
8,0801,11,2020,16,10,2020,8,0801,23,21,1,4,320,320,4,2,97,97
22,2202,2,2021,25,9,2020,22,2202,23,22,4,9,320,320,4,4,23,35
16,1604,1,2021,20,11,2020,16,1604,23,22,4,4,320,320,4,4,35,97
20,2011,10,2020,10,9,2020,22,2203,23,22,4,9,320,320,1,3,92,97
4,0414,10,2020,28,1,2020,4,0413,23,22,1,4,320,320,2,2,92,97
15,1501,12,2020,20,11,2020,15,1503,23,22,4,1,320,320,3,3,97,97
12,1220,1,2021,25,9,2020,12,1220,23,22,4,4,320,320,3,3,97,97
1,0115,11,2020,28,10,2020,1,0117,23,22,4,9,320,320,4,4,97,97
1,0109,2,2020,24,1,2020,1,0109,23,23,1,4,320,320,2,3,73,81
4,0401,11,2020,17,8,2020,4,0415,23,23,4,4,320,320,2,3,92,97
9,0910,12,2020,23,11,2020,9,0911,23,23,1,1,320,320,3,3,92,97
3,0305,11,2020,7,10,2020,3,0305,23,23,1,1,320,320,4,4,97,23
1,0101,12,2020,3,12,2020,1,0115,23,23,9,4,320,320,3,4,97,97
4,0401,12,2020,27,11,2020,4,0401,23,23,5,4,320,320,5,4,97,97
