DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0101,12,2016,3,11,2016,1,0101,999,999,9,9,32,320,9,9,98,23
1,0101,8,2016,17,5,2016,1,0101,58,999,9,9,32,320,9,9,98,98
17,1701,8,2016,11,8,2016,1,0101,61,53,9,9,32,320,0,0,99,99
1,0101,3,2017,7,10,2016,1,0101,39,38,9,4,40,320,9,4,52,26
19,1905,2,2017,23,11,2016,2,0207,999,999,9,9,152,320,9,9,72,98
1,0101,10,2016,18,3,2016,1,0101,999,999,9,9,152,320,9,9,99,99
1,0101,7,2016,11,4,2016,1,0101,54,28,9,4,170,320,9,3,99,52
1,0101,2,2017,6,12,2016,1,0101,999,999,9,9,170,320,9,9,26,98
1,0101,9,2016,29,8,2016,1,0101,27,28,9,4,170,320,9,4,34,98
1,0101,4,2016,8,1,2016,1,0101,37,37,9,4,170,643,9,0,99,99
1,0101,9,2016,6,4,2016,1,0101,999,999,9,9,188,320,9,9,98,21
1,0101,5,2016,17,3,2016,1,0101,999,54,9,9,188,170,9,9,98,41
1,0101,1,2017,25,7,2016,1,0101,50,43,4,4,188,320,4,4,98,44
1,0101,10,2016,8,6,2016,1,0101,999,999,9,9,188,320,9,9,98,51
1,0101,2,2017,19,9,2016,1,0101,62,999,9,9,188,320,9,9,52,98
1,0101,3,2016,21,1,2016,1,0108,999,42,9,4,192,320,9,4,32,22
12,1215,12,2016,27,6,2016,1,0101,20,23,9,4,192,320,9,3,98,98
22,2201,4,2016,5,4,2016,18,1803,999,999,9,9,192,320,9,9,99,99
1,0101,1,2017,6,10,2016,1,0101,999,999,9,9,192,320,0,9,99,99
1,0101,4,2016,15,3,2016,1,0101,999,999,9,9,208,320,9,9,98,21
1,0101,11,2016,1,9,2016,1,0101,39,37,9,4,222,320,9,3,31,44
1,0101,9,2016,22,7,2016,1,0101,66,47,9,9,222,320,9,9,43,41
1,0101,12,2016,3,8,2016,1,0101,999,999,9,9,222,320,9,9,98,41
18,1801,3,2016,18,2,2016,18,1802,59,56,4,4,222,320,9,9,75,98
22,2202,6,2016,4,5,2016,22,2202,61,46,4,4,222,320,9,1,92,98
1,0101,10,2016,22,7,2016,1,0115,26,29,4,4,222,320,9,3,98,98
1,0101,8,2016,23,5,2016,1,0101,999,999,9,9,222,320,9,9,98,98
1,0101,4,2016,15,2,2016,1,0101,36,37,9,4,222,320,9,5,98,98
1,0115,3,2016,17,2,2016,1,0115,30,26,4,4,222,320,9,9,98,98
1,0101,2,2017,19,12,2016,1,0101,999,999,9,9,222,320,9,9,98,98
1,0101,11,2016,13,4,2016,3,0301,44,999,4,9,222,320,4,9,33,99
5,0503,2,2017,21,11,2016,5,0503,999,999,4,9,222,320,3,9,98,99
