DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
13,1301,1,2023,17,1,2023,13,1301,43,51,4,1,320,320,5,5,01,22
1,0101,3,2023,7,2,2023,1,0101,999,53,9,4,320,320,9,5,01,23
1,0101,5,2023,10,4,2023,1,0101,41,33,4,4,320,320,5,4,01,23
3,0309,7,2023,22,5,2023,4,0406,39,36,1,4,320,320,5,5,01,26
17,1712,8,2023,26,5,2023,17,1708,30,34,4,4,320,320,4,5,01,26
1,0101,9,2023,23,8,2023,1,0101,32,30,4,4,320,320,4,5,01,26
1,0101,12,2023,22,11,2023,1,0101,999,999,9,9,320,320,9,9,01,23
3,0301,6,2024,19,10,2023,1,0101,999,999,9,9,320,320,9,9,01,23
2,0201,3,2023,6,3,2023,1,0101,999,999,9,9,320,320,1,9,03,23
1,0101,3,2023,22,2,2023,20,2004,999,999,9,9,320,320,9,9,03,23
12,1201,11,2023,25,8,2023,12,1201,33,35,4,4,320,320,4,5,03,26
1,0101,3,2023,23,2,2023,1,0101,34,26,4,4,320,320,4,4,01,43
15,1501,5,2023,20,3,2023,15,1507,30,31,4,4,320,320,5,4,01,43
1,0101,5,2023,24,4,2023,19,1901,58,50,4,4,320,320,9,9,01,41
1,0116,8,2023,13,7,2023,1,0108,999,999,9,9,320,320,9,9,01,43
1,0101,8,2023,17,3,2023,1,0101,999,999,9,9,320,320,9,9,03,41
1,0101,7,2023,21,6,2023,1,0101,41,30,4,4,320,320,5,3,01,97
1,0101,8,2023,4,8,2023,1,0101,29,25,4,9,320,840,4,4,01,97
1,0101,4,2024,28,11,2023,1,0101,999,999,9,9,320,320,9,9,01,97
14,1401,4,2023,6,2,2023,14,1401,31,24,1,4,320,320,4,4,03,97
13,1302,6,2023,19,5,2023,13,1301,34,31,4,4,320,320,2,1,03,97
15,1503,7,2023,23,5,2023,12,1201,36,28,9,4,840,320,4,4,03,97
11,1101,8,2023,7,8,2023,11,1101,28,26,4,4,320,320,3,3,03,97
1,0101,10,2023,3,3,2023,1,0101,999,999,9,9,320,320,9,9,03,97
1,0101,3,2023,16,2,2023,1,0101,44,32,4,4,320,320,5,5,12,12
1,0101,3,2023,17,3,2023,1,0101,41,39,4,4,320,320,5,5,12,12
1,0101,8,2023,28,8,2023,1,0108,999,999,9,9,320,320,9,9,12,12
1,0101,11,2023,2,10,2023,1,0101,47,43,4,4,320,320,5,5,12,12
12,1201,12,2023,21,11,2023,12,1202,28,24,4,4,320,320,4,4,11,23
1,0101,2,2023,13,1,2023,1,0101,39,39,4,4,320,320,5,5,12,21
1,0101,3,2023,6,3,2023,1,0101,35,32,4,4,320,320,5,5,12,24
1,0101,5,2023,14,4,2023,1,0101,999,56,9,4,320,320,9,5,12,21
1,0101,6,2023,12,6,2023,1,0101,42,35,4,4,320,320,5,5,12,26
1,0101,7,2023,23,6,2023,1,0101,999,50,9,9,320,484,9,9,12,23
1,0108,7,2023,22,5,2023,1,0101,35,36,4,4,320,320,5,5,12,26
1,0101,8,2023,8,6,2023,1,0101,47,46,9,4,320,320,9,5,12,26
1,0101,8,2023,19,7,2023,1,0101,35,32,4,4,320,320,6,6,12,22
1,0101,9,2023,1,9,2023,1,0101,50,43,4,4,320,320,5,5,12,24
1,0101,10,2023,26,9,2023,1,0101,38,37,4,4,320,320,5,5,12,23
1,0101,11,2023,2,10,2023,1,0101,39,36,4,9,320,76,5,5,12,22
1,0101,11,2023,28,9,2023,1,0106,33,33,4,4,320,320,6,5,12,21
1,0101,11,2023,3,10,2023,1,0101,31,28,4,4,320,320,6,5,12,26
1,0101,12,2023,27,11,2023,1,0101,55,43,4,4,320,320,5,5,12,26
1,0101,5,2024,26,5,2023,1,0101,44,37,4,9,320,32,6,5,12,26
1,0101,11,2023,7,11,2023,1,0101,34,40,4,4,320,320,4,5,11,31
3,0303,4,2023,20,4,2023,3,0303,43,38,4,4,320,320,5,5,12,33
1,0101,7,2023,19,6,2023,1,0101,40,43,4,9,320,320,5,4,12,33
17,1705,9,2023,1,8,2023,17,1703,28,23,4,4,320,320,5,4,12,33
9,0922,1,2024,20,12,2023,12,1217,48,39,4,4,320,320,5,4,12,33
9,0901,8,2023,25,7,2023,9,0901,53,53,4,4,320,320,5,4,11,41
3,0314,9,2023,31,7,2023,1,0101,33,39,4,4,320,320,5,5,11,41
9,0901,3,2023,9,3,2023,9,0903,40,37,4,4,320,320,5,5,12,44
1,0101,4,2023,15,3,2023,1,0101,35,33,4,4,320,320,5,5,12,41
1,0101,8,2023,28,8,2023,13,1317,33,32,1,4,320,320,5,4,12,42
11,1101,8,2023,28,7,2023,1,0115,40,29,4,4,320,320,4,4,11,52
1,0101,4,2023,3,2,2023,1,0101,999,999,9,9,320,320,9,1,12,99
1,0101,1,2023,9,1,2023,1,0101,35,31,4,4,320,320,5,4,11,97
1,0101,12,2023,30,10,2023,1,0101,31,34,4,9,320,320,4,1,11,97
1,0101,1,2023,4,1,2023,1,0101,28,34,4,4,320,320,5,4,12,97
1,0101,2,2023,9,2,2023,1,0101,38,39,4,4,320,320,5,4,12,97
1,0101,3,2023,1,3,2023,1,0101,44,40,4,4,320,320,5,6,12,97
1,0101,7,2023,17,2,2023,1,0101,51,47,4,9,320,720,5,1,12,97
1,0101,7,2023,27,7,2023,22,2201,30,31,4,4,320,320,6,4,12,97
1,0101,8,2023,15,5,2023,1,0101,33,29,4,4,320,320,5,4,12,97
1,0101,9,2023,9,8,2023,4,0402,41,35,4,4,320,320,5,5,12,97
1,0101,9,2023,6,9,2023,1,0101,53,50,4,4,320,320,5,5,12,97
1,0101,11,2023,23,10,2023,3,0309,70,56,9,9,320,320,9,1,12,97
1,0101,11,2023,6,6,2023,1,0101,53,37,4,4,320,320,5,5,12,97
1,0101,5,2024,20,7,2023,1,0101,45,42,4,4,320,320,6,5,12,97
9,0901,8,2023,8,8,2023,9,0901,24,24,4,9,320,320,5,4,14,97
1,0101,4,2023,8,3,2023,1,0101,55,999,9,9,320,320,9,9,21,12
1,0101,12,2023,17,11,2023,20,2001,42,40,4,4,320,320,6,5,21,12
1,0101,1,2024,24,11,2023,1,0101,43,39,4,4,320,320,6,5,21,12
1,0101,8,2023,24,7,2023,1,0101,34,40,4,4,320,320,4,5,23,12
1,0101,2,2023,25,1,2023,1,0101,37,35,4,4,320,320,5,5,24,14
1,0101,5,2023,7,3,2023,1,0101,42,42,4,4,320,320,5,5,24,12
1,0101,2,2023,8,2,2023,1,0101,38,42,4,4,320,320,9,5,25,12
1,0101,3,2023,9,2,2023,1,0101,41,39,4,4,320,320,4,5,25,12
4,0401,7,2023,12,6,2023,1,0101,41,34,4,4,320,320,6,5,26,12
1,0101,10,2023,26,5,2023,1,0101,40,38,4,4,320,320,5,6,26,12
3,0308,3,2024,30,10,2023,1,0101,48,48,4,4,320,320,6,5,26,12
4,0401,1,2023,3,1,2023,1,0101,38,36,4,4,320,320,5,6,21,21
1,0101,1,2023,4,1,2023,1,0101,35,31,4,4,320,320,5,9,21,21
1,0101,2,2023,9,1,2023,1,0101,44,40,4,4,320,320,9,5,21,26
1,0101,2,2023,31,1,2023,1,0101,29,28,4,4,320,320,5,5,21,23
22,2205,3,2023,28,2,2023,1,0101,46,45,4,4,320,320,6,9,21,21
1,0101,3,2023,22,2,2023,1,0101,42,40,4,4,320,320,5,5,21,23
1,0115,3,2023,6,2,2023,1,0101,42,42,4,4,320,320,6,5,21,26
1,0101,3,2023,10,2,2023,1,0101,54,45,4,4,320,320,5,6,21,22
1,0115,3,2023,20,2,2023,1,0101,39,46,4,4,320,320,5,5,21,23
1,0101,3,2023,24,2,2023,1,0115,53,52,4,4,320,320,5,4,21,23
1,0101,3,2023,17,1,2023,1,0101,42,41,4,4,320,320,5,5,21,21
