DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
5,0509,5,2021,1,2,2021,5,0509,29,25,4,4,320,320,4,4,01,23
1,0101,6,2022,23,8,2021,1,0101,36,37,4,4,320,320,5,5,01,01
11,1101,10,2021,11,10,2021,11,1101,34,31,4,4,320,320,5,4,01,23
1,0101,1,2022,29,11,2021,1,0101,48,33,4,9,320,320,5,4,01,41
15,1501,3,2021,28,1,2021,15,1501,44,28,4,4,320,320,5,4,01,97
17,1703,8,2021,13,7,2021,1,0101,39,27,4,4,320,320,5,5,01,31
12,1202,11,2021,2,8,2021,12,1202,45,40,4,4,320,320,9,4,01,97
1,0101,8,2021,9,7,2021,1,0101,999,999,9,9,320,320,9,9,01,97
14,1420,12,2021,25,10,2021,14,1420,36,31,4,1,320,320,1,4,03,97
1,0101,5,2021,15,3,2021,1,0101,999,999,9,9,320,320,1,1,03,97
16,1603,1,2022,23,8,2021,16,1603,27,27,1,1,320,320,2,2,03,97
9,0920,8,2021,12,4,2021,9,0920,31,32,4,4,320,320,3,4,03,97
22,2201,7,2021,24,6,2021,22,2201,32,29,4,9,320,320,3,3,03,51
1,0101,5,2021,26,3,2021,1,0101,999,42,9,9,320,720,4,9,03,97
6,0601,11,2021,29,10,2021,6,0611,38,30,4,4,320,320,4,4,03,54
1,0101,4,2022,15,11,2021,1,0106,58,56,4,9,320,320,5,1,03,99
1,0101,8,2021,16,7,2021,1,0101,41,34,4,4,320,320,5,4,03,97
2,0201,11,2021,19,10,2021,2,0203,32,35,4,4,320,320,5,5,03,03
1,0101,6,2021,24,5,2021,1,0106,59,50,4,4,320,320,9,4,03,42
1,0101,9,2021,14,9,2021,1,0101,999,999,9,9,320,320,9,1,03,97
5,0504,12,2021,23,4,2021,16,1601,999,50,9,4,320,320,9,4,03,41
18,1804,12,2021,10,8,2021,18,1801,26,22,4,4,320,320,9,4,03,97
1,0101,2,2021,14,1,2021,1,0101,63,53,9,4,320,320,9,4,11,97
1,0101,11,2021,21,6,2021,3,0301,63,48,9,4,484,320,9,5,11,24
1,0106,11,2021,19,10,2021,1,0111,42,28,4,4,320,320,5,3,11,97
1,0101,7,2021,31,5,2021,6,0608,37,37,4,9,320,320,5,9,11,97
13,1324,10,2021,13,8,2021,13,1307,36,37,1,1,320,320,6,5,11,24
1,0101,11,2021,31,5,2021,1,0101,61,64,4,4,320,320,5,4,12,99
9,0901,7,2021,9,7,2021,9,0901,41,40,4,4,320,320,5,5,12,52
5,0512,10,2021,18,8,2021,5,0512,47,33,4,4,320,320,5,4,12,41
1,0101,11,2021,13,7,2021,1,0101,33,36,4,4,320,320,5,4,12,51
1,0101,1,2022,19,11,2021,1,0101,51,49,4,4,320,320,5,4,12,97
1,0101,10,2021,23,8,2021,1,0101,46,46,4,4,320,320,5,4,12,41
20,2007,9,2021,28,1,2021,20,2007,32,32,4,4,320,320,5,4,12,43
1,0101,1,2022,26,11,2021,1,0101,43,37,4,4,320,320,5,5,12,14
9,0901,3,2022,3,12,2021,9,0903,50,31,1,4,320,320,5,2,12,97
1,0101,3,2021,22,2,2021,14,1421,44,26,4,4,320,320,5,4,12,43
9,0901,9,2021,31,8,2021,1,0101,40,36,4,4,320,320,5,4,12,97
1,0111,12,2021,4,10,2021,1,0110,50,51,4,4,320,320,5,5,12,11
1,0101,5,2021,5,4,2021,1,0108,49,43,9,4,320,320,5,5,12,12
18,1801,5,2021,1,2,2021,18,1801,47,31,4,4,320,320,5,5,12,26
1,0101,12,2021,8,11,2021,1,0101,37,33,4,4,320,320,5,9,12,24
1,0101,7,2021,18,3,2021,1,0101,31,28,4,4,320,320,5,4,12,23
1,0101,7,2021,5,4,2021,1,0102,38,40,4,4,320,320,5,4,12,99
13,1312,6,2021,11,2,2021,13,1312,32,28,4,4,320,320,5,4,12,23
9,0901,6,2021,24,5,2021,10,1010,25,23,4,9,320,320,5,4,12,43
1,0101,4,2021,12,3,2021,1,0101,30,28,4,4,320,320,6,4,12,41
1,0101,4,2021,16,2,2021,1,0101,999,999,9,9,320,320,9,9,12,12
1,0101,12,2021,1,12,2021,3,0301,43,42,4,5,320,222,9,9,12,12
1,0101,4,2021,12,3,2021,1,0101,46,999,4,9,320,320,5,1,12,97
1,0106,6,2021,19,4,2021,1,0101,44,41,4,4,320,320,5,5,12,22
9,0901,5,2021,16,4,2021,12,1201,40,40,4,4,320,320,5,5,13,99
1,0114,3,2021,18,2,2021,1,0114,33,34,4,4,320,320,5,4,13,99
2,0201,1,2022,21,12,2021,16,1601,48,35,4,4,320,320,5,5,13,26
1,0101,5,2021,19,3,2021,1,0101,47,999,9,9,320,320,5,9,13,97
1,0101,7,2021,16,6,2021,1,0101,999,74,9,4,320,320,9,4,14,97
1,0101,5,2021,26,2,2021,1,0101,67,65,5,4,320,320,5,5,21,12
1,0101,4,2021,5,4,2021,1,0101,43,37,4,4,320,320,5,5,21,21
1,0101,3,2021,3,3,2021,1,0101,29,29,4,9,320,320,5,4,21,97
1,0101,10,2021,22,9,2021,1,0101,49,40,5,4,840,320,5,4,21,97
2,0201,7,2021,21,6,2021,16,1610,45,27,4,4,320,320,5,4,21,97
21,2101,6,2021,9,3,2021,21,2101,32,29,4,4,320,320,5,4,21,97
1,0101,11,2021,14,7,2021,1,0101,999,53,9,4,170,320,9,6,21,21
1,0101,11,2021,25,8,2021,1,0103,45,46,4,4,320,320,9,5,21,21
12,1202,10,2021,21,4,2021,12,1202,47,40,4,4,320,320,5,4,21,97
3,0301,9,2021,2,9,2021,7,0701,58,44,1,4,320,320,5,5,21,97
1,0101,5,2021,6,4,2021,1,0101,999,56,9,9,320,276,5,1,21,97
1,0101,4,2021,5,4,2021,16,1601,45,40,4,4,320,320,5,4,21,35
1,0101,12,2021,15,11,2021,17,1712,63,55,9,4,718,320,5,4,21,97
