DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0113,6,2019,5,12,2018,18,1804,999,999,9,9,320,320,1,9,99,99
5,0507,11,2018,24,7,2018,5,0507,999,999,9,9,320,320,1,9,99,99
1,0101,4,2018,2,4,2018,1,0101,999,999,9,9,320,320,1,9,99,99
5,0501,6,2018,9,3,2018,5,0501,999,999,9,9,320,320,1,9,99,99
18,1801,8,2018,3,4,2018,22,2205,999,999,9,9,320,320,1,9,99,99
1,0101,10,2018,27,3,2018,1,0106,999,999,9,9,320,320,1,9,99,99
5,0507,3,2018,1,3,2018,5,0507,999,999,9,9,320,320,1,9,99,99
11,1103,5,2018,19,4,2018,11,1103,999,999,9,9,320,320,1,9,99,99
9,0917,10,2018,13,8,2018,9,0917,34,999,4,9,320,320,1,9,99,99
18,1802,9,2018,23,4,2018,18,1804,36,999,9,9,320,320,1,9,99,99
19,1905,7,2018,4,6,2018,19,1905,37,999,9,9,320,320,1,9,99,99
11,1101,10,2018,20,7,2018,14,1420,42,999,9,9,320,320,1,9,99,99
20,2007,4,2018,5,1,2018,20,2007,50,999,9,9,320,320,1,9,99,99
1,0104,6,2019,21,8,2018,1,0106,55,999,9,9,222,320,1,9,99,99
1,0115,1,2019,26,10,2018,3,0301,67,999,9,9,170,320,1,9,99,99
1,0101,6,2019,13,3,2018,3,0301,999,999,9,9,40,320,1,9,99,99
14,1413,7,2018,15,5,2018,13,1301,999,999,9,9,320,320,1,9,99,99
10,1001,8,2018,11,7,2018,10,1001,999,999,9,9,320,320,1,9,99,99
1,0101,8,2018,6,6,2018,14,1401,999,999,9,9,320,320,1,9,99,99
1,0101,8,2018,7,5,2018,1,0101,999,999,9,9,320,320,1,9,99,99
1,0101,8,2018,18,7,2018,1,0101,999,999,9,9,320,320,1,9,99,99
15,1501,9,2018,2,7,2018,15,1501,999,999,9,9,320,320,1,9,99,99
9,0922,10,2018,11,9,2018,1,0101,999,999,9,9,320,320,1,9,99,99
11,1101,11,2018,3,7,2018,11,1101,999,999,9,9,320,320,1,9,99,99
1,0101,12,2018,21,9,2018,1,0101,999,999,9,9,320,320,1,9,99,99
14,1401,1,2019,26,10,2018,14,1401,999,999,9,9,320,320,1,9,99,99
9,0920,2,2019,15,10,2018,11,1101,999,999,9,9,320,320,1,9,99,99
8,0802,4,2018,23,2,2018,8,0802,999,999,1,9,320,320,1,9,99,99
18,1802,5,2018,30,4,2018,18,1802,999,999,9,9,320,320,1,9,99,99
8,0802,11,2018,3,5,2018,8,0802,999,999,9,9,320,320,1,9,99,99
14,1403,2,2018,15,1,2018,14,1403,999,999,9,9,320,320,1,9,99,99
4,0401,9,2018,13,3,2018,4,0403,999,999,9,9,320,320,1,9,99,99
18,1804,9,2018,21,8,2018,20,2003,999,999,9,9,320,320,1,9,99,99
1,0101,11,2018,28,8,2018,1,0103,999,999,9,9,320,320,1,9,99,99
12,1215,5,2019,26,11,2018,1,0103,999,999,9,9,320,320,1,9,99,99
18,1804,4,2018,19,2,2018,18,1804,999,999,9,9,320,320,1,9,99,99
18,1804,8,2018,9,8,2018,18,1804,999,999,9,9,320,320,1,9,99,99
18,1804,8,2018,25,7,2018,18,1804,999,999,9,9,320,320,1,9,99,99
14,1404,11,2018,11,7,2018,14,1404,999,999,9,9,320,320,1,9,99,99
18,1804,11,2018,18,10,2018,18,1804,999,999,9,9,320,320,1,9,99,99
15,1503,1,2019,24,10,2018,15,1504,999,999,9,9,320,320,1,9,99,99
13,1304,3,2019,21,12,2018,13,1304,999,999,9,9,320,320,1,9,99,99
21,2101,8,2018,20,7,2018,22,2205,999,999,4,9,320,320,1,9,99,99
9,0903,2,2019,10,10,2018,11,1105,999,999,9,9,320,320,1,9,99,99
22,2205,4,2019,19,6,2018,22,2205,999,999,9,9,320,320,1,9,99,99
16,1602,8,2018,23,4,2018,1,0105,999,999,9,4,320,320,1,9,99,99
5,0506,6,2018,23,4,2018,5,0506,999,999,9,9,320,320,1,9,99,99
20,2006,6,2018,7,6,2018,20,2006,999,999,9,9,320,320,1,9,99,99
3,0309,8,2018,25,7,2018,5,0506,999,999,9,9,320,320,1,9,99,99
1,0101,11,2018,11,6,2018,1,0106,999,999,9,9,320,320,1,9,99,99
5,0506,5,2018,19,2,2018,5,0506,999,999,9,9,320,320,1,9,99,99
21,2101,1,2019,13,11,2018,21,2107,999,999,9,9,320,320,1,9,99,99
20,2001,4,2019,18,12,2018,20,2007,999,999,9,9,320,320,1,9,99,99
1,0115,7,2018,11,4,2018,1,0108,999,999,9,9,320,320,1,9,99,99
3,0308,5,2019,22,5,2018,3,0308,999,999,9,9,320,320,1,9,99,99
17,1712,6,2018,16,5,2018,17,1712,999,999,4,9,320,320,1,9,99,99
14,1412,6,2018,27,2,2018,14,1412,999,999,9,9,320,320,1,9,99,99
1,0114,7,2018,31,5,2018,1,0114,999,999,9,9,320,320,1,9,99,99
4,0414,3,2018,9,2,2018,4,0414,999,999,9,9,320,320,1,9,99,99
1,0114,7,2018,20,6,2018,1,0114,999,999,9,9,320,320,1,9,99,99
1,0101,5,2019,24,4,2018,1,0116,999,999,9,9,320,320,1,9,99,99
12,1222,5,2018,4,4,2018,12,1222,999,999,9,9,320,320,1,9,99,99
1,0115,1,2019,12,3,2018,14,1402,999,999,9,9,320,320,1,9,99,99
20,2001,10,2018,24,5,2018,20,2001,999,999,9,9,320,320,1,9,99,99
1,0101,6,2018,19,4,2018,1,0101,32,27,9,4,188,320,1,4,99,99
15,1507,12,2018,4,9,2018,15,1507,33,29,9,9,320,320,1,3,99,99
1,0116,8,2018,4,6,2018,1,0116,50,49,9,4,320,320,1,3,99,99
15,1501,2,2019,5,4,2018,15,1501,999,39,9,4,320,320,1,2,99,99
22,2203,10,2018,24,8,2018,22,2203,34,28,4,4,320,320,1,1,99,99
13,1301,6,2019,22,8,2018,13,1326,32,28,1,1,320,320,1,1,99,99
2,0201,9,2018,23,7,2018,2,0205,30,29,4,4,320,320,1,1,99,99
1,0114,8,2018,8,8,2018,14,1401,32,29,1,9,320,320,1,1,99,99
13,1301,7,2018,22,5,2018,13,1326,35,30,1,1,320,320,1,1,99,99
11,1101,10,2018,29,5,2018,11,1102,34,32,9,9,320,320,1,1,99,99
16,1610,11,2018,1,10,2018,16,1609,35,33,4,4,320,222,1,1,99,99
1,0101,6,2018,12,3,2018,15,1507,999,33,9,9,320,320,1,1,99,99
1,0111,5,2018,1,4,2018,1,0111,34,34,9,9,320,320,1,1,99,99
7,0719,8,2018,21,2,2018,7,0719,46,36,1,1,320,320,1,1,99,99
1,0110,10,2018,21,8,2018,1,0110,999,36,9,9,320,320,1,1,99,99
