DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,AÑOOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PPERHOM,PPERMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
16,1601,10,2019,5,6,2019,16,1601,50,999,4,4,320,320,5,9,97,1
1,0108,6,2019,28,5,2019,1,0101,48,47,4,4,320,320,5,5,12,11
1,0101,11,2019,24,10,2019,1,0116,57,55,4,4,320,320,5,5,21,11
1,0101,11,2019,14,10,2019,1,0101,42,39,4,4,320,320,5,5,21,11
1,0101,11,2019,26,7,2019,1,0108,54,31,4,4,320,320,5,5,24,11
1,0106,8,2019,11,6,2019,1,0101,36,36,4,4,320,320,5,5,24,11
1,0101,3,2019,20,2,2019,1,0108,999,999,9,9,320,320,9,9,75,11
1,0101,3,2019,14,1,2019,1,0101,27,27,4,4,320,320,5,9,12,12
1,0101,5,2019,22,3,2019,1,0101,36,27,4,9,320,320,5,9,12,12
1,0101,3,2019,13,3,2019,1,0108,48,41,4,4,320,320,5,5,21,12
9,0901,4,2019,4,1,2019,1,0101,60,56,5,4,320,320,5,9,21,12
1,0101,4,2019,15,2,2019,1,0103,43,40,4,4,320,320,5,9,21,12
1,0106,9,2019,19,8,2019,1,0101,43,41,4,4,320,320,6,5,21,12
1,0101,1,2020,30,8,2019,1,0101,38,36,9,4,188,320,9,5,21,12
1,0101,9,2019,7,2,2019,1,0101,45,35,4,4,320,320,9,5,22,12
1,0103,5,2019,5,4,2019,1,0101,37,38,4,4,320,320,5,5,24,12
1,0101,6,2019,18,2,2019,1,0101,32,31,4,4,320,320,5,9,24,12
1,0101,2,2019,15,1,2019,1,0101,999,999,9,9,862,320,9,9,26,12
1,0101,9,2019,21,8,2019,1,0101,39,39,4,4,320,320,9,5,26,12
1,0101,8,2019,23,7,2019,1,0101,36,37,4,4,320,320,4,5,35,12
1,0101,3,2019,4,2,2019,1,0115,34,44,4,4,320,320,4,5,35,12
5,0509,1,2020,2,9,2019,5,0502,38,35,4,4,320,320,9,9,43,12
1,0101,1,2020,18,11,2019,3,0308,32,42,4,4,320,320,4,9,52,12
3,0301,5,2019,15,4,2019,3,0301,38,37,4,4,320,320,5,5,52,12
9,0920,2,2020,5,12,2019,9,0920,30,27,4,4,320,320,4,9,97,12
12,1201,10,2019,25,9,2019,9,0901,32,33,4,4,320,320,5,5,97,12
16,1601,12,2019,2,10,2019,16,1601,35,32,4,1,320,320,5,5,97,12
1,0101,12,2019,6,11,2019,1,0101,36,37,4,4,320,320,5,9,97,12
1,0107,1,2020,12,12,2019,1,0101,999,999,9,9,320,320,9,9,97,14
1,0113,1,2020,12,7,2019,1,0101,33,35,4,4,320,320,5,5,12,21
1,0101,11,2019,30,10,2019,7,0711,37,38,4,4,320,320,5,5,12,21
1,0112,1,2020,6,6,2019,1,0101,999,999,9,9,320,320,9,9,12,21
1,0101,2,2020,10,10,2019,1,0101,38,37,4,9,320,320,9,9,12,21
1,0115,9,2019,5,8,2019,1,0115,35,35,4,4,320,320,5,5,21,21
1,0101,2,2020,15,11,2019,1,0101,37,39,4,4,320,720,5,5,21,21
1,0106,9,2019,21,5,2019,10,1001,34,35,4,9,320,222,5,5,21,21
1,0101,8,2019,1,8,2019,1,0101,30,31,4,4,320,320,5,5,21,21
1,0101,5,2019,15,2,2019,3,0306,47,45,4,4,320,320,5,5,21,21
1,0101,5,2019,3,4,2019,1,0114,31,29,4,4,320,320,5,5,21,21
1,0101,2,2020,6,11,2019,9,0901,37,32,4,4,320,320,5,5,21,21
1,0101,7,2019,19,6,2019,1,0101,33,32,4,9,320,320,5,5,21,21
1,0101,6,2019,21,2,2019,1,0101,33,33,4,4,320,320,5,5,21,21
1,0113,11,2019,18,11,2019,1,0101,35,33,4,5,320,320,5,5,21,21
1,0106,6,2019,10,4,2019,1,0108,36,33,4,4,320,320,5,5,21,21
1,0101,6,2019,12,4,2019,3,0312,36,36,9,4,320,320,5,6,21,21
1,0101,8,2019,1,8,2019,1,0108,41,37,4,4,320,320,5,5,21,21
1,0101,4,2019,4,2,2019,1,0101,33,30,4,9,320,214,6,5,21,21
1,0101,6,2019,27,5,2019,1,0101,999,999,9,9,320,320,9,9,21,21
1,0101,6,2019,12,6,2019,1,0101,34,35,4,4,320,320,9,5,21,21
1,0106,9,2019,27,6,2019,1,0101,999,999,9,9,320,320,9,9,21,21
1,0101,5,2019,7,5,2019,1,0101,999,999,9,9,320,320,9,9,21,21
1,0101,11,2019,21,5,2019,1,0101,33,33,4,4,320,320,5,5,22,21
3,0308,7,2019,11,4,2019,1,0101,999,999,9,9,320,320,9,9,22,21
1,0101,9,2019,23,5,2019,1,0101,41,37,4,4,320,320,5,5,24,21
16,1601,9,2019,22,7,2019,4,0401,39,39,4,4,320,320,5,5,24,21
1,0115,4,2019,29,3,2019,1,0101,34,46,4,4,320,320,5,5,24,21
10,1001,12,2019,2,12,2019,10,1001,37,40,4,4,320,320,5,5,26,21
9,0901,3,2019,19,2,2019,9,0916,32,32,4,1,320,320,4,5,31,21
1,0101,11,2019,4,9,2019,1,0101,33,34,4,4,320,320,5,5,31,21
1,0109,11,2019,4,4,2019,1,0101,47,999,4,9,320,320,4,9,33,21
1,0102,7,2019,9,7,2019,1,0106,32,33,4,4,320,320,4,5,34,21
1,0101,5,2019,3,4,2019,1,0101,999,999,9,9,320,320,9,9,34,21
1,0101,4,2019,12,3,2019,1,0101,41,39,9,4,320,320,9,5,35,21
